AL,3530,Athletic Injuries,24%,20%,36%,12%,8%,0%,0%,0%,0%,"Colbert, Isaac Sean"
AL,3600,Hgh Sch Athl Ethical/Legal I,54%,33%,8%,4%,0%,0%,0%,0%,0%,"Connor, Clyde Keith"
AL,3610,Admin/Org of Athletic Pro,81%,7%,7%,4%,0%,0%,0%,0%,0%,"Oates, Henry C."
AL,3610,Admin/Org of Athletic Pro,88%,4%,8%,0%,0%,0%,0%,0%,0%,"Oates, Henry C."
AL,3610,Admin/Org of Athletic Pro,73%,19%,8%,0%,0%,0%,0%,0%,0%,"Oates, Henry C."
AL,3620,Psychology of Coaching,42%,29%,17%,4%,4%,0%,0%,4%,0%,"Carter, Natalie Anne"
AL,3620,Psychology of Coaching,44%,32%,16%,8%,0%,0%,0%,0%,0%,"Carter, Natalie Anne"
AL,3620,Psychology of Coaching,52%,20%,12%,8%,0%,0%,0%,8%,0%,"Carter, Natalie Anne"
AL,3720,Coaching Basketball,52%,35%,4%,0%,4%,0%,0%,4%,0%,"Fry, Edmond H"
AL,3740,Coaching Football,72%,16%,8%,0%,4%,0%,0%,0%,0%,"Fry, Edmond H"
AL,3750,Coaching Soccer,88%,8%,4%,0%,0%,0%,0%,0%,0%,"Hickey, Justin M"
AL,3760,Coaching Strength/Conditi,74%,11%,7%,0%,4%,0%,0%,4%,0%,"Fry, Edmond H"
AL,3760,Coaching Strength/Conditi,69%,23%,0%,4%,0%,0%,0%,4%,0%,"Fry, Edmond H"
AL,4000,Athletic Leadership Interns,0%,0%,0%,0%,0%,100%,0%,0%,0%,"Cadorette, Deborah Jo"
AL,4380,Student Athlete Developm,33%,44%,17%,0%,6%,0%,0%,0%,0%,"Godfrey, Michael G"
AL,4380,Coaching Softball/Baseball,54%,17%,4%,17%,8%,0%,0%,0%,0%,"Hickey, Justin M"
AL,4380,High School Sports Officiati,72%,16%,0%,0%,0%,0%,0%,12%,0%,"Connor, Clyde Keith"
AL,8380,Intercoll Ath Personnel Mg,65%,30%,5%,0%,0%,0%,0%,0%,0%,"Young, Kyle McLendon"
AL,8380,Intercoll Ath Personnel Mg,40%,20%,40%,0%,0%,0%,0%,0%,0%,"Young, Kyle McLendon"
AL,8380,Sports Op & Team Culture,56%,25%,13%,0%,6%,0%,0%,0%,0%,"Carlson, Julianna Davis"
AL,8380,Sports Op & Team Culture,69%,31%,0%,0%,0%,0%,0%,0%,0%,"Carlson, Julianna Davis"
AL,8500,Principles Strength and Co,58%,42%,0%,0%,0%,0%,0%,0%,0%,"Godfrey, Michael G"
AL,8630,Socio Dynam in Intercol At,63%,29%,8%,0%,0%,0%,0%,0%,0%,"Godfrey, Michael G"
AL,8630,Socio Dynam in Intercol At,27%,27%,36%,0%,9%,0%,0%,0%,0%,"Stokowski, Sarah E"
AL,8630,Socio Dynam in Intercol At,45%,36%,18%,0%,0%,0%,0%,0%,0%,"Stokowski, Sarah E"
AL,8640,Ethical Iss in Collegiate Ath,84%,12%,4%,0%,0%,0%,0%,0%,0%,"Butler, Janna Magette"
AL,8640,Ethical Iss in Collegiate Ath,65%,25%,10%,0%,0%,0%,0%,0%,0%,"Butler, Janna Magette"
AL,8640,Ethical Iss in Collegiate Ath,45%,25%,10%,0%,20%,0%,0%,0%,0%,"Butler, Janna Magette"
AL,8700,Intercoll Athletics Finance,89%,11%,0%,0%,0%,0%,0%,0%,0%,"Soles, Misty B"
AL,8700,Intercoll Athletics Finance,86%,14%,0%,0%,0%,0%,0%,0%,0%,"Soles, Misty B"
ANTH,2010,Introduction to Anthropol,65%,22%,8%,1%,2%,0%,0%,1%,0%,"Tremblay, Suzanna Eve"
ANTH,2010,Introduction to Anthropol,73%,25%,2%,0%,0%,0%,0%,0%,0%,"Tremblay, Suzanna Eve"
ANTH,2010,Introduction to Anthropol,75%,17%,7%,2%,0%,0%,0%,0%,0%,"Markus, David M"
ANTH,2010,Introduction to Anthropol,37%,38%,9%,5%,5%,0%,0%,6%,0%,"Rapaport, Lisa G"
ANTH,2010,Introduction to Anthropol,9%,16%,52%,5%,7%,0%,0%,11%,0%,"Coggeshall, John M"
ANTH,2050,Professional Development,67%,8%,17%,0%,0%,0%,0%,0%,8%,"Weisensee, Katherine E"
ANTH,3250,The Anthropology of Food,46%,34%,15%,2%,0%,0%,0%,2%,0%,"Wu, Yi"
ANTH,3310,Archaeology,63%,17%,10%,0%,7%,0%,0%,0%,3%,"Markus, David M"
ANTH,3510,Biological Anthropology,82%,18%,0%,0%,0%,0%,0%,0%,0%,"Tremblay, Suzanna Eve"
ANTH,3530,Forensic Anthropology,68%,27%,5%,0%,0%,0%,0%,0%,0%,"Tremblay, Suzanna Eve"
ANTH,3910,Medical Anthropology,33%,22%,11%,0%,11%,0%,0%,22%,0%,"Zhang, Yanhua"
ANTH,4040,Anthropological Theories,12%,41%,41%,0%,0%,0%,0%,0%,6%,"Coggeshall, John M"
