Course,Title,A,B,C,D,F,P,N(P),W,I,Number,Professor
CPSC,Applied Data Science,69%,25%,6%,0%,0%,0%,0%,0%,0%,4300,"Hubig, Nina Christine"
CPSC,Machine Learning: Impl &,70%,24%,5%,0%,0%,0%,0%,0%,0%,4430,"Li, Nianyi"
CPSC,Cloud Computing Architect,48%,50%,0%,0%,2%,0%,0%,0%,0%,4440,"Shue, Mitch"
CPSC,Database Management Sys,53%,27%,20%,0%,0%,0%,0%,0%,0%,4620,"Taylor, Constance Louise"
CPSC,Database Management Sys,23%,34%,20%,17%,3%,0%,0%,3%,0%,4620,"Wang, Zijun"
CPSC,Software Devel Methodolg,58%,32%,6%,0%,0%,0%,0%,3%,0%,4720,"Rodeghero, Paige Anne"
CPSC,ST: Computer Vision,58%,8%,8%,0%,0%,0%,0%,25%,0%,4820,"Duchowski, Andrew T"
CPSC,ST: AI Unmanned Vech,27%,18%,18%,9%,5%,0%,0%,23%,0%,4820,"Razi, Abolfazl"
CPSC,Programming Team Semin,53%,27%,20%,0%,0%,0%,0%,0%,0%,4890,"Dean, Brian Christopher"
CPSC,Professional Issues II,81%,19%,0%,0%,0%,0%,0%,0%,0%,4910,"Russell, Carrie Lynn"
CPSC,Professional Issues II,60%,31%,10%,0%,0%,0%,0%,0%,0%,4910,"Van Scoy, Roger Larry"
CPSC,Virtual Reality Systems,58%,33%,0%,0%,0%,0%,0%,8%,0%,6110,"Robb, Andrew C"
CPSC,Human and Computer Inte,69%,23%,0%,0%,0%,0%,0%,8%,0%,6140,"Babu, Sabarish Venkat"
CPSC,Applied Data Science,83%,11%,0%,0%,0%,0%,0%,6%,0%,6300,"Hubig, Nina Christine"
CPSC,Cloud Computing Architect,86%,14%,0%,0%,0%,0%,0%,0%,0%,6440,"Shue, Mitch"
CPSC,Database Management Sys,84%,16%,0%,0%,0%,0%,0%,0%,0%,6620,"Wang, Zijun"
CPSC,"CPSC6810Kraemer, Eileen Theresa",35.50%,39.50%,0%,0%,4%,0%,0%,0%,21%,6810,"Kraemer, Eileen Theresa"
CPSC,ST: AI Unmanned Vech,67%,22%,0%,0%,0%,0%,0%,11%,0%,6820,"Razi, Abolfazl"
CPSC,Adv Comp Graphics,29%,43%,0%,0%,14%,0%,0%,14%,0%,8050,"Dhillon, Daljit Singh"
CPSC,Design & Anlys of Algorith,10%,35%,20%,0%,10%,0%,0%,25%,0%,8400,"Dean, Brian Christopher"
CPSC,Advanced Machine Learnin,68%,10%,6%,0%,3%,0%,0%,13%,0%,8420,"Liu, Kai"
CPSC,Deep Learning,65%,20%,5%,0%,0%,0%,0%,10%,0%,8430,"Luo, Feng"
CPSC,Data Mining,49%,49%,3%,0%,0%,0%,0%,0%,0%,8650,"Wang, Zijun"
CPSC,Software Spec & Design Te,39%,35%,4%,0%,0%,0%,0%,22%,0%,8720,"Sitaraman, Murali"
CPSC,Select Topic: HPC,55%,45%,0%,0%,0%,0%,0%,0%,0%,8810,"Jin, Shuangshuang"
CPSC,Malware Reverse Engineer,82%,0%,9%,0%,0%,0%,0%,9%,0%,8830,"Brooks, Richard R"
CPSC,Directed Projects,0%,0%,0%,0%,0%,100%,0%,0%,0%,8880,"Smotherman, Mark K"
CPSC,Visual Computing Seminar,0%,0%,0%,0%,0%,100%,0%,0%,0%,9500,"Iuricich, Federico"
CPSC,"CPSC9500Liu, Kai",0%,0%,0%,0%,0%,100%,0%,0%,0%,9500,"Liu, Kai"
CPSC,Human Fact Soft Eng,0%,0%,0%,0%,0%,100%,0%,0%,0%,9500,"Rodeghero, Paige Anne"
CPSC,Doctoral Dissertation Rese,0%,0%,0%,0%,0%,100%,0%,0%,0%,9910,"Cheng, Long"
CPSC,Doctoral Dissertation Rese,0%,0%,0%,0%,0%,100%,0%,0%,0%,9910,"Luo, Feng"
CRP,"Cities, Technology and Soci",27%,46%,17%,0%,4%,0%,0%,4%,2%,2010,"Morris, Eric A"
CRP,Place Making for the Built,80%,20%,0%,0%,0%,0%,0%,0%,0%,8020,"Ramos Santiago, Luis E"
CRP,Fund of Transportation Pla,38%,63%,0%,0%,0%,0%,0%,0%,0%,8130,"Morris, Eric A"
CRP,Coastal Resilience and Haz,60%,20%,0%,0%,20%,0%,0%,0%,0%,8420,"Dyckman, Caitlin"
CSM,"CSM2010Clarke, Shima N",26%,34%,23.50%,6%,4%,0%,0%,6%,0%,2010,"Clarke, Shima N"
CSM,Cont Documents,65%,24%,9%,0%,3%,0%,0%,0%,0%,2040,"Sharma, Harnish"
CSM,Mats & Methods II,15%,63%,22%,0%,0%,0%,0%,0%,0%,2050,"Gajjar, Dhaval R"
CSM,Mats & Methods II,29%,36%,29%,7%,0%,0%,0%,0%,0%,2050,"Townsend, Craig N"
CSM,Construction Industry Semi,82%,11%,0%,7%,0%,0%,0%,0%,0%,2070,"Armstrong, Leslie L"
CSM,"CSM3040Burgett, Joseph Michael",14%,45%,34.50%,0%,6.50%,0%,0%,0%,0%,3040,"Burgett, Joseph Michael"
CSM,Environmental Systems II,87%,13%,0%,0%,0%,0%,0%,0%,0%,3050,"Boulding, Alastair Wright"
CSM,Environmental Systems II,0%,31%,38%,15%,8%,0%,0%,8%,0%,3050,"Burgett, Joseph Michael"
CSM,Emerging Tech in Construc,89%,7%,4%,0%,0%,0%,0%,0%,0%,3060,"Sharma, Harnish"
CSM,Sustainable Construction,74%,24%,2%,0%,0%,0%,0%,0%,0%,3070,"Sharma, Harnish"
CSM,Construction Estimating,32%,59%,9%,0%,0%,0%,0%,0%,0%,3510,"Bhattacharya, Arup"
CSM,Construction Estimating,14%,67%,5%,5%,0%,0%,0%,10%,0%,3510,"Mousavi Rizi, Seyed Ehsan"
CSM,Const Scheduling,47%,50%,3%,0%,0%,0%,0%,0%,0%,3520,"Bausman, Dennis C"
CSM,Const Scheduling,45%,27%,9%,18%,0%,0%,0%,0%,0%,3520,"Townsend, Craig N"
CSM,Const Estimating II,50%,19%,25%,0%,6%,0%,0%,0%,0%,3530,"Harden, Anthony Dwayne"
CSM,Safety in Bldg Const,63%,19%,19%,0%,0%,0%,0%,0%,0%,4110,"Corley, Nicholas L"
CSM,Construction Mgmt Studio,78%,11%,0%,0%,11%,0%,0%,0%,0%,4220,"Gauthier, Richard William"
CSM,Construction Internship,70%,19%,6%,4%,0%,0%,0%,0%,0%,4500,"Waugaman, Gretchen E"
CSM,Construction Project Mgm,40%,57%,3%,0%,0%,0%,0%,0%,0%,4530,"Bausman, Dennis C"
CSM,Construction Capstone,88%,4%,4%,0%,4%,0%,0%,0%,0%,4540,"Sharma, Vivek"
CSM,Const Econ Seminar,79%,11%,7%,0%,4%,0%,0%,0%,0%,4610,"Nove-Josserand, Catherine Jackson"
CSM,"CSM4980Gajjar, Dhaval R",32%,53.50%,7%,3.50%,0%,0%,0%,3.50%,0%,4980,"Gajjar, Dhaval R"
CSM,Residential Construction M,43%,14%,29%,0%,14%,0%,0%,0%,0%,6300,"Lucas, Jason D"
CSM,"CSM8680Lucas, Jason D",75%,22%,0%,0%,3.50%,0%,0%,0%,0%,8680,"Lucas, Jason D"
CSM,Directed Studies ? Roofing,88%,13%,0%,0%,0%,0%,0%,0%,0%,8900,"Gajjar, Dhaval R"
CU,"CU1000Whorton, Susan S",0%,0%,0%,0%,0%,73%,24%,3%,0%,1000,"Whorton, Susan S"
CU,"CU1010Neel, Catherine Maroska",57%,21.75%,6%,1%,6.25%,0%,0%,8%,0%,1010,"Neel, Catherine Maroska"
CU,"CU1110Anderson, Rachel K",0%,0%,0%,0%,0%,100%,0%,0%,0%,1110,"Anderson, Rachel K"
DANC,Contemporary Dance I,78%,11%,6%,0%,0%,0%,0%,6%,0%,1500,"Hosler, Cheryl L"
DPA,Method 3d Production,32%,37%,11%,0%,21%,0%,0%,0%,0%,3070,"Florencio Da Costa, Rodney"
DPA,Tech Foundations II,47%,35%,18%,0%,0%,0%,0%,0%,0%,4010,"Li, Xiang"
DPA,Vis Foundations II,36%,29%,14%,7%,7%,0%,0%,7%,0%,4030,"Summey, Anthony K"
DPA,Artistic Character Animatio,60%,20%,20%,0%,0%,0%,0%,0%,0%,8080,"Donar, David Stewart"
DPA,Special Effects Compositin,63%,38%,0%,0%,0%,0%,0%,0%,0%,8150,"Patterson, Eric K"
DSA,Statistical Methods II,86%,14%,0%,0%,0%,0%,0%,0%,0%,8020,"Huang, Whitney K"
DSA,Adv Mathematical Progra,36%,36%,14%,0%,0%,0%,0%,14%,0%,8420,"Saltzman, Matthew J"
DSA,Data Management & Ware,58%,39%,0%,0%,0%,0%,0%,3%,0%,8660,"Li, He"
ECAS,CI in Prep for UG Research,67%,11%,0%,0%,0%,0%,0%,22%,0%,1990,"Alper, Joshua"
ECAS,CI LEAD Forward II,90%,10%,0%,0%,0%,0%,0%,0%,0%,2990,"Putman, Bradley J"
ECAS,CI CU Eng for Dev Countrie,91%,0%,0%,0%,0%,0%,0%,9%,0%,2990,"Vaughn, David E"
ECAS,CI SPECTRA Eng Clean Eati,88%,13%,0%,0%,0%,0%,0%,0%,0%,3990,"McDonald, Latoya Shanel"
ECAS,CI CU Eng for Dev Countrie,93%,7%,0%,0%,0%,0%,0%,0%,0%,4990,"Vaughn, David E"
ECE,CI: Circuit Cellar,86%,0%,0%,0%,0%,0%,0%,14%,0%,1990,"Raza, Hassan"
ECE,Logic and Computing Devic,28%,11%,21%,33%,4%,0%,0%,4%,0%,2010,"Zhu, Lin"
ECE,Electric Circuits I,13%,20%,32%,17%,12%,0%,0%,7%,0%,2020,"Harrell, William R"
ECE,"ECE2070Martin, Anthony Q",39.50%,17%,19.50%,5.50%,9.50%,0%,0%,7.50%,0.50%,2070,"Martin, Anthony Q"
ECE,Basic Electrical Engineering,59%,30%,8%,1%,1%,0%,0%,1%,0%,2070,"Raza, Tehseen Z"
ECE,"ECE2080Kapadia, Apoorva Deepak",86.33%,2.50%,5.33%,1%,1.67%,0%,0%,3%,0%,2080,"Kapadia, Apoorva Deepak"
ECE,"ECE2090Kapadia, Apoorva Deepak",73.50%,8.50%,0%,0%,13%,0%,0%,4.50%,0%,2090,"Kapadia, Apoorva Deepak"
ECE,"ECE2110Kapadia, Apoorva Deepak",77.50%,6%,0%,0%,8.50%,0%,0%,8.50%,0%,2110,"Kapadia, Apoorva Deepak"
ECE,Electrical Engineering Lab I,88%,6%,0%,0%,0%,0%,0%,6%,0%,2120,"Kapadia, Apoorva Deepak"
ECE,Syst Prog Concept,16%,27%,24%,6%,16%,0%,0%,10%,0%,2220,"Reid, William J"
ECE,Comp Sys Eng,21%,13%,29%,8%,21%,0%,0%,8%,0%,2230,"Calhoun, Jon Cameron"
ECE,Electric Circuits II,57%,20%,10%,7%,3%,0%,0%,2%,0%,2620,"Raza, Hassan"
ECE,Comp Organization,20%,20%,31%,13%,14%,0%,0%,2%,0%,2720,"Reid, William J"
ECE,"ECE2730Kapadia, Apoorva Deepak",54.67%,24%,9.33%,2.17%,8.83%,0%,0%,1%,0%,2730,"Kapadia, Apoorva Deepak"
ECE,Electrical Engineering Lab I,88%,0%,0%,0%,0%,0%,0%,13%,0%,3110,"Kapadia, Apoorva Deepak"
ECE,"ECE3120Kapadia, Apoorva Deepak",87.50%,6.50%,0%,0%,0%,0%,0%,6.50%,0%,3120,"Kapadia, Apoorva Deepak"
ECE,Rand Signal Analysis,13%,30%,35%,10%,6%,0%,0%,5%,1%,3170,"Hubbard, Stephen J"
ECE,Electronics I,21%,17%,27%,11%,19%,0%,0%,5%,0%,3200,"Hubbard, Stephen J"
ECE,Electronics II,39%,36%,16%,7%,2%,0%,0%,0%,0%,3210,"Hubbard, Stephen J"
ECE,Intro Operating Sys,39%,25%,21%,7%,4%,0%,0%,4%,0%,3220,"Drachova, Svetlana V"
ECE,Dig Comp Design,33%,28%,3%,0%,13%,0%,0%,23%,3%,3270,"Lao, Yingjie"
ECE,Signals & Systems,14%,25%,22%,14%,11%,0%,0%,13%,0%,3300,"Baum, Carl W"
ECE,Programming Systems,82%,15%,0%,0%,0%,0%,0%,3%,0%,3520,"Ligon, Walter B"
ECE,Elect Power Engr,21%,21%,25%,21%,7%,0%,0%,4%,0%,3600,"Papari, Behnaz"
ECE,Microcontr Interface,38%,25%,21%,4%,8%,0%,0%,4%,0%,3710,"Reid, William J"
ECE,Micro Int Lab,75%,8%,0%,0%,0%,0%,0%,17%,0%,3720,"Kapadia, Apoorva Deepak"
ECE,Electromagnetics,61%,25%,0%,0%,14%,0%,0%,0%,0%,3800,"Raza, Tehseen Z"
ECE,Field Waves & Ckts,38%,51%,9%,0%,0%,0%,0%,0%,2%,3810,"Johnson, Eric Gordon"
ECE,Intr to Linear Control Syste,38%,28%,28%,0%,3%,0%,0%,3%,0%,4090,"Groff, Richard E"
ECE,Indust Control & Automati,92%,3%,0%,0%,0%,0%,0%,5%,0%,4100,"Kapadia, Apoorva Deepak"
ECE,Smart Grid,43%,35%,4%,4%,4%,0%,0%,9%,0%,4160,"Venayagamoorthy, Ganesh Kumar"
ECE,Elec Mach and Drives,80%,20%,0%,0%,0%,0%,0%,0%,0%,4190,"Edrington, Christopher Shannon"
ECE,Renewable Energy,50%,29%,7%,0%,0%,0%,0%,14%,0%,4200,"Enslin, Johan Heinrich Richter"
ECE,Communication Systems,56%,18%,15%,0%,9%,0%,0%,3%,0%,4270,"Guo, Linke"
ECE,Instrumentation,31%,46%,15%,0%,0%,0%,0%,8%,0%,4320,"Koley, Goutam"
ECE,Computer Commun,29%,36%,7%,7%,7%,0%,0%,14%,0%,4380,"Russell, Harlan B"
ECE,Local Computer Nets,70%,17%,7%,0%,0%,0%,0%,7%,0%,4400,"Wang, Kuang-Ching"
ECE,Embedded Computing,70%,17%,7%,0%,3%,0%,0%,0%,3%,4680,"Hoover, Adam W"
ECE,Electrific of Transportation,80%,18%,0%,0%,0%,0%,0%,2%,0%,4710,"Singh, Rajendra"
ECE,Int Sys Design I,95%,3%,0%,0%,0%,0%,0%,3%,0%,4950,"Kapadia, Apoorva Deepak"
ECE,Int Sys Design II,90%,9%,1%,0%,0%,0%,0%,0%,0%,4960,"Raza, Hassan"
ECE,CI: High-Perf. Cluster Com,80%,20%,0%,0%,0%,0%,0%,0%,0%,4990,"Calhoun, Jon Cameron"
ECE,CI: AI Security & Privacy,90%,10%,0%,0%,0%,0%,0%,0%,0%,4990,"Lao, Yingjie"
ECE,CI:Eff Radio Frq Bio Cell(H,50%,50%,0%,0%,0%,0%,0%,0%,0%,4990,"Wang, Pingshan"
ECE,Smart Grid,50%,30%,10%,0%,0%,0%,0%,10%,0%,6160,"Venayagamoorthy, Ganesh Kumar"
ECE,Elec Mach and Drives,60%,40%,0%,0%,0%,0%,0%,0%,0%,6190,"Edrington, Christopher Shannon"
ECE,Renewable Energy,58%,25%,8%,0%,0%,0%,0%,8%,0%,6200,"Enslin, Johan Heinrich Richter"
ECE,Computer Commun,33%,50%,17%,0%,0%,0%,0%,0%,0%,6380,"Russell, Harlan B"
ECE,"ECE8160Brahma, Sukumar Makarand",38%,15.50%,7%,0%,8.50%,0%,0%,23.50%,7%,8160,"Brahma, Sukumar Makarand"
ECE,Semicond Devices,60%,20%,0%,0%,0%,0%,0%,20%,0%,8400,"Harrell, William R"
ECE,Artificial Intell,77%,8%,8%,0%,0%,0%,0%,8%,0%,8550,"Wu, Yongkai"
ECE,FPGA Design & Application,50%,25%,25%,0%,0%,0%,0%,0%,0%,8790,"Smith, Melissa Crawley"
ECE,Doctoral Dissertation Rese,0%,0%,0%,0%,0%,100%,0%,0%,0%,9910,"Hadidi, Ramtin"
ECE,Doctoral Dissertation Rese,0%,0%,0%,0%,0%,100%,0%,0%,0%,9910,"Johnson, Eric Gordon"
ECE,Doctoral Dissertation Rese,0%,0%,0%,0%,0%,100%,0%,0%,0%,9910,"Lao, Yingjie"
ECE,Doctoral Dissertation Rese,0%,0%,0%,0%,0%,100%,0%,0%,0%,9910,"Smith, Melissa Crawley"
ECE,Doctoral Dissertation Rese,0%,0%,0%,0%,0%,100%,0%,0%,0%,9910,"Xiao, Hai"
ECON,"ECON2000Alam, Mustafa W",65.50%,25.50%,5.50%,0%,0%,0%,0%,4%,0%,2000,"Alam, Mustafa W"
ECON,Economic Concepts,78%,13%,5%,3%,3%,0%,0%,0%,0%,2000,"Ivankovic, Miren"
ECON,Why Business?,32%,32%,18%,3%,5%,0%,0%,10%,0%,2050,"Watson, Lawrence Reed"
ECON,Principles of Microeconom,35%,29%,23%,4%,6%,0%,0%,2%,0%,2110,"Banerjee, Srijan"
ECON,Principles of Microeconom,30%,47%,19%,0%,3%,0%,0%,2%,0%,2110,"Dey, Titir"
ECON,"ECON2110Espey, Molly",16.50%,48%,20%,7%,4.50%,0%,0%,4.50%,0%,2110,"Espey, Molly"
ECON,Principles of Microeconom,68%,26%,6%,0%,0%,0%,0%,0%,0%,2110,"Jewell, Terrence O'neal"
ECON,Principles of Microeconom,83%,11%,3%,0%,1%,0%,0%,3%,0%,2110,"Knott, Tabitha R"
ECON,Principles of Microeconom,30%,28%,11%,20%,9%,0%,0%,3%,0%,2110,"Leganza, Jonathan Michael"
ECON,"ECON2110Simpkins, Cory",76.50%,16.50%,5%,0%,1.50%,0%,0%,1.50%,0%,2110,"Simpkins, Cory"
ECON,Principles of Microeconom,32%,28%,22%,14%,1%,0%,0%,4%,0%,2110,"Watson, Lawrence Reed"
ECON,Principles of Macroecono,22%,38%,24%,9%,5%,0%,0%,3%,0%,2120,"Bixenman, Mason Nikolas"
ECON,"ECON2120Dai, Yinlin",31.50%,34%,20.50%,12.50%,1%,0%,0%,1.50%,0%,2120,"Dai, Yinlin"
ECON,Principles of Macroecon (H,86%,10%,0%,0%,0%,0%,0%,3%,0%,2120,"Gorry, Christopher Aspen"
ECON,"ECON2120Hobbs, Bradley Keith",19.79%,42.26%,23.16%,10.16%,4.21%,0%,0%,0.79%,0%,2120,"Hobbs, Bradley Keith"
ECON,"ECON2120Karaman, Fatma",32.50%,30.50%,22.50%,5.50%,9%,0%,0%,1.50%,0%,2120,"Karaman, Fatma"
ECON,Principles of Macroecono,43%,47%,6%,2%,0%,0%,0%,3%,0%,2120,"Khatri, Krishna"
ECON,Principles of Macroecono,51%,24%,17%,5%,2%,0%,0%,0%,0%,2120,"Posmanick, Benjamin James"
ECON,Principles of Macroecono,72%,20%,6%,1%,0%,0%,0%,1%,0%,2120,"Vaca Pereira, Hugo"
ECON,Principles of Macroecono,53%,25%,13%,7%,2%,0%,0%,0%,0%,2120,"Winton, Annaliese"
ECON,Money and Banking,47%,31%,13%,2%,0%,0%,0%,7%,0%,3020,"Polovnikov, Illia"
ECON,Managerial Economics,56%,24%,8%,4%,2%,0%,0%,6%,0%,3060,"Ivankovic, Miren"
ECON,International Econ,50%,40%,10%,0%,0%,0%,0%,0%,0%,3100,"Reesman, Ward Matthew"
ECON,Intermediate Micro,21%,50%,11%,7%,4%,0%,0%,7%,0%,3140,"Evans, Thomas Andrew"
ECON,Intermediate Micro,21%,12%,18%,12%,24%,0%,0%,15%,0%,3140,"Warren, Patrick L"
ECON,"ECON3140Zhou, Yichen Christy",57.50%,25%,13.50%,3%,0%,0%,0%,1.50%,0%,3140,"Zhou, Yichen Christy"
ECON,Intermediate Macro,49%,26%,13%,0%,4%,0%,0%,9%,0%,3150,"Gorry, Christopher Aspen"
ECON,Intermediate Macro,26%,23%,28%,11%,2%,0%,0%,9%,0%,3150,"Jerzmanowski, Michal Maria"
ECON,Intermediate Macro (HON),89%,0%,0%,0%,0%,0%,0%,11%,0%,3150,"Tamura, Robert F"
ECON,Property Rights,31%,12%,12%,8%,23%,0%,0%,15%,0%,3440,"Litsukova-Bokar, Daria"
ECON,"ECON3500Hobbs, Bradley Keith",16%,44%,28%,4%,4%,0%,0%,4%,0%,3500,"Hobbs, Bradley Keith"
ECON,Public Choice,51%,13%,18%,10%,5%,0%,0%,3%,0%,3600,"Makowsky, Michael D"
ECON,Labor Mkt Analysis,53%,37%,10%,0%,0%,0%,0%,0%,0%,4010,"Simon, Curtis J"
ECON,"ECON4050Barkowski, Scott J",29%,26%,27.50%,9%,4.50%,0%,0%,1.50%,3%,4050,"Barkowski, Scott J"
ECON,International Micro,46%,37%,11%,0%,6%,0%,0%,0%,0%,4120,"Chen, Cheng"
ECON,Pub Sector Econ,32%,18%,43%,0%,0%,0%,0%,7%,0%,4200,"Dougan, William R"
ECON,Economics of Health,30%,45%,18%,2%,2%,0%,0%,2%,0%,4230,"Gorry, Devon Merritt Haskell"
ECON,Sem Sport Economics,56%,30%,11%,0%,4%,0%,0%,0%,0%,4260,"Sauer, Raymond D"
ECON,Dev American Economy,23%,46%,23%,6%,0%,0%,0%,3%,0%,4270,"Bodenhorn, Howard Nelson"
ECON,Game Theory,22%,39%,30%,9%,0%,0%,0%,0%,0%,4400,"Thomas, Charles J"
ECON,"Nat Res Use, Technol & Pol",11%,28%,22%,11%,0%,0%,0%,28%,0%,4570,"Templeton, Scott R."
ECON,Sel Topic-Financial Econom,56%,32%,0%,0%,0%,0%,0%,12%,0%,4980,"Evans, Thomas Andrew"
ECON,Sel Topic - Art & Culture,44%,33%,11%,0%,11%,0%,0%,0%,0%,4980,"Tsui, Kevin Ka Kin"
ECON,Sen Sem in Econ,63%,38%,0%,0%,0%,0%,0%,0%,0%,4990,"Sauer, Raymond D"
ECON,Dev Amer Econ,60%,20%,0%,0%,20%,0%,0%,0%,0%,6270,"Bodenhorn, Howard Nelson"
ECON,Adv Econ Concepts and Ap,45%,36%,18%,0%,0%,0%,0%,0%,0%,8020,"Tsui, Kevin Ka Kin"
ECON,Macroeconomic Theory,25%,42%,25%,0%,0%,0%,0%,8%,0%,8050,"Jerzmanowski, Michal Maria"
ECON,Econometrics I,45%,45%,9%,0%,0%,0%,0%,0%,0%,8060,"Wilson, Paul Wayne"
ECON,Us Economic Hist,67%,22%,0%,0%,11%,0%,0%,0%,0%,8150,"Bodenhorn, Howard Nelson"
ECON,Public Finance,50%,50%,0%,0%,0%,0%,0%,0%,0%,8200,"Dougan, William R"
ECON,Adv Data Analysis for Econ,45%,36%,9%,0%,9%,0%,0%,0%,0%,8610,"Lam, Chungsang"
ECON,Adv Econ Analytic for Busi,78%,11%,0%,0%,0%,0%,0%,11%,0%,8710,"De Los Santos, Babur"
ECON,Time-Series Econ,50%,40%,0%,0%,0%,0%,0%,10%,0%,9090,"Dwyer, Gerald P"
ECON,Workshop in Ap Econ (Mac,0%,0%,0%,0%,0%,100%,0%,0%,0%,9820,"Chen, Cheng"
ECON,Workshop in Ap Econ (Pub,0%,0%,0%,0%,0%,100%,0%,0%,0%,9820,"Dougan, William R"
ECON,Workshop in Ap Econ (Ind,0%,0%,0%,0%,0%,100%,0%,0%,0%,9820,"Hanssen, Frederick Andrew"
ECON,Workshop in Labor Econo,0%,0%,0%,0%,0%,100%,0%,0%,0%,9820,"Simon, Curtis J"
ED,Orientation to Education,81%,8%,4%,0%,8%,0%,0%,0%,0%,1050,"Martin, Corrie Leigh"
ED,"ED3010Bailey, Beatrice Naff",85%,10.50%,0%,0%,3%,0%,0%,1.50%,0%,3010,"Bailey, Beatrice Naff"
ED,History of US Education,79%,7%,14%,0%,0%,0%,0%,0%,0%,3200,"Moore-Hubbard, Meghan Elyse"
ED,"ED4060Malloy, Jacquelynn A",90%,8%,2%,0%,0%,0%,0%,0%,0%,4060,"Malloy, Jacquelynn A"
ED,"ED8380Aker, Lisa Denise",78%,6%,3%,0%,9.50%,0%,0%,3.50%,0%,8380,"Aker, Lisa Denise"
ED,Classroom-Based Research,85%,10%,5%,0%,0%,0%,0%,0%,0%,8600,"Bennett, Amanda E"
ED,"ED8710Cassidy, Krista Lynne Cornehl",72%,19%,4.50%,0%,0%,0%,0%,4.50%,0%,8710,"Cassidy, Krista Lynne Cornehl"
ED,STEAM Transdisc Teaching,75%,0%,0%,0%,0%,0%,0%,25%,0%,8710,"Herro, Danielle Christine"
ED,"Curric, Instruc, Assess, Lear",78%,0%,0%,0%,22%,0%,0%,0%,0%,8760,"Anderson, Shanita Nanette"
ED,Classroom-Based Research,75%,13%,13%,0%,0%,0%,0%,0%,0%,8990,"Spearman, Melinda J"
ED,Curriculum Theory,82%,9%,0%,0%,0%,0%,0%,9%,0%,9540,"Spearman, Melinda J"
EDC,School Counseling Practicu,0%,0%,0%,0%,0%,100%,0%,0%,0%,8300,"Boyd, Barbara Elizabeth Powell"
EDC,School Counseling Practicu,0%,0%,0%,0%,0%,100%,0%,0%,0%,8300,"Hall, Jennifer Geddes"
EDC,School Counseling Practicu,0%,0%,0%,0%,0%,100%,0%,0%,0%,8300,"Rumsey, Amanda Dreisbach"
EDC,Clinical Mh Prac,0%,0%,0%,0%,0%,100%,0%,0%,0%,8360,"Ellis, Brooke Wymer"
EDC,Clinical Mh Prac,0%,0%,0%,0%,0%,100%,0%,0%,0%,8360,"Hiott, Elaine H"
EDC,Clinical Mh Prac,0%,0%,0%,0%,0%,100%,0%,0%,0%,8360,"Scott, David A"
EDC,School Counseling Internsh,0%,0%,0%,0%,0%,100%,0%,0%,0%,8410,"Rumsey, Amanda Dreisbach"
EDC,School Counseling Internsh,0%,0%,0%,0%,0%,100%,0%,0%,0%,8410,"Tchouros, Mary Katalinic"
EDC,"EDC8460Boyd, Barbara Elizabeth Powell",0%,0%,0%,0%,0%,100%,0%,0%,0%,8460,"Boyd, Barbara Elizabeth Powell"
EDEC,"EDEC2020Shelnut, Jill Chandler",87%,7.50%,0%,0%,0%,0%,0%,5.50%,0%,2020,"Shelnut, Jill Chandler"
EDEC,Family/School/Com,79%,11%,0%,0%,0%,0%,0%,11%,0%,2200,"Shelnut, Jill Chandler"
EDEC,EC Curric & Soc Stud Meth,88%,12%,0%,0%,0%,0%,0%,0%,0%,4500,"Hubbard, Koti Lee"
EDEC,Ece Capstone,68%,18%,9%,0%,0%,0%,0%,5%,0%,4850,"Hall, Anna Henson"
EDEC,Adv Ece Curriculum,83%,17%,0%,0%,0%,0%,0%,0%,0%,8200,"Hall, Anna Henson"
EDEL,Arts in Ele School,88%,8%,0%,0%,0%,0%,0%,4%,0%,3100,"Abel, Kirsten Dennen"
EDEL,"EDEL3100Leonard, Alison Elizabeth",90%,10%,0%,0%,0%,0%,0%,0%,0%,3100,"Leonard, Alison Elizabeth"
EDEL,"EDEL4520Tyminski, Andrew Michael",72.33%,25%,2.67%,0%,0%,0%,0%,0%,0%,4520,"Tyminski, Andrew Michael"
EDEL,Directed Tech Elem,97%,3%,0%,0%,0%,0%,0%,0%,0%,4830,"Chappell, Latasha Michelle"
EDF,"EDF3020Bennett, Amanda E",79%,8.50%,10%,0%,1.50%,0%,0%,1.50%,0%,3020,"Bennett, Amanda E"
EDF,"EDF3020Vega Quesada, Hazel Maria",66%,24%,8.50%,0%,0%,0%,0%,2%,0%,3020,"Vega Quesada, Hazel Maria"
EDF,"EDF3080Brooker, Heather Rogers",94%,6%,0%,0%,0%,0%,0%,0%,0%,3080,"Brooker, Heather Rogers"
EDF,Child Growth and Develop,87%,13%,0%,0%,0%,0%,0%,0%,0%,3340,"Jamil, Faiza Marghoob"
EDF,"EDF3340McFadden, Shanada Adams",85%,11%,0%,0%,0%,0%,0%,4.50%,0%,3340,"McFadden, Shanada Adams"
EDF,Adolescent Growth & Dev,82%,13%,3%,0%,3%,0%,0%,0%,0%,3350,"Rapa, Luke J"
EDF,Digital Media & Learning,88%,8%,0%,0%,0%,0%,0%,4%,0%,4800,"Bailey, Cinamon Sunrise"
EDF,Digital Media & Learning,96%,4%,0%,0%,0%,0%,0%,0%,0%,4800,"Herro, Danielle Christine"
EDF,"EDF4800Visser, Ryan D",82%,14%,2%,2%,0%,0%,0%,0%,0%,4800,"Visser, Ryan D"
