Course,Title,A,B,C,D,F,P,N(P),W,I,Number,Professor
STS,Survey Sci & Techn in Socie,95%,0%,0%,0%,5%,0%,0%,0%,0%,1010,"Grant, Anne McMahan"
STS,Survey Sci & Techn in Socie,61%,24%,12%,0%,0%,0%,0%,0%,3%,1010,"Johnson, Tareva Leselle"
STS,Survey Sci & Techn in Socie,34%,46%,3%,0%,0%,0%,0%,14%,3%,1010,"LaMonte, Jennifer Adams Emnett"
STS,Survey Sci & Techn in Socie,28%,34%,24%,3%,3%,0%,0%,0%,7%,1010,"MacAlystre, Megan Noel"
STS,Survey Sci & Techn in Socie,97%,0%,0%,0%,3%,0%,0%,0%,0%,1010,"Paxton-Wilson, Nancy"
STS,Survey Sci & Techn in Socie,60%,34%,6%,0%,0%,0%,0%,0%,0%,1010,"Randall, Philip D"
STS,Survey Sci & Techn in Socie,65%,16%,14%,0%,0%,0%,0%,5%,0%,1010,"Stansell, Elizabeth Anderson"
STS,"Ideas,machines & Soc",82%,9%,3%,3%,0%,0%,0%,3%,0%,1020,"Brame, Scott E"
SUST,"SUST2010Goree, Jennifer Margaret",91%,5%,1.50%,0%,0%,0%,0%,3%,0%,2010,"Goree, Jennifer Margaret"
SYSE,Systems Engr I,72%,28%,0%,0%,0%,0%,0%,0%,0%,8010,"Cahalane, Liam John"
THEA,"THEA2100Adkins, Jason S",58%,24.50%,11.50%,3%,3.50%,0%,0%,0%,0%,2100,"Adkins, Jason S"
THEA,Theatre Appreciation,56%,28%,9%,3%,0%,0%,0%,3%,0%,2100,"Hartmann, David J"
THEA,"THEA2100Johnson, Kendra Lynette",60.50%,19.50%,7.50%,1.50%,7.50%,0%,0%,1.50%,1.50%,2100,"Johnson, Kendra Lynette"
THEA,Theatre Appreciation,61%,26%,10%,0%,0%,0%,0%,3%,0%,2100,"Robert, Shannon Therese"
THEA,Prod Studies in Thea,73%,27%,0%,0%,0%,0%,0%,0%,0%,2770,"Hartmann, David J"
THEA,Acting I,42%,42%,0%,0%,17%,0%,0%,0%,0%,2780,"Seymour, Kerrie Kathleen"
THEA,Theatre Practicum,64%,18%,0%,0%,0%,0%,0%,18%,0%,2790,"Leckenbusch, Matthew J"
THEA,Theatre History II,56%,22%,11%,0%,0%,0%,0%,11%,0%,3160,"Becker, Becky K"
THEA,Afri-Amer Thea II,50%,33%,8%,8%,0%,0%,0%,0%,0%,3180,"Johnson, Kendra Lynette"
THEA,Improvisation,83%,17%,0%,0%,0%,0%,0%,0%,0%,4720,"Collins, Carol A"
THEA,Acting II,38%,31%,23%,0%,8%,0%,0%,0%,0%,4790,"Seymour, Kerrie Kathleen"
THEA,Stage Lighting I,40%,20%,10%,0%,0%,0%,0%,10%,20%,4870,"Penna, Anthony M"
TSAP,Transfer Study Abroad Pro,0%,0%,0%,0%,0%,100%,0%,0%,0%,1010,"Wilson, Meredith Fant"
WFB,"WFB3000Jachowski, Catherine Michelle Bodinof",40.50%,31.50%,20%,3.50%,4.50%,0%,0%,1%,0%,3000,"Jachowski, Catherine Michelle Bodinof"
WFB,"WFB3010Rodriguez, Shari Lynn",28%,40.50%,25%,3%,0%,0%,0%,3%,0%,3010,"Rodriguez, Shari Lynn"
WFB,"WFB3130Rodriguez, Shari Lynn",35%,28.50%,28.25%,6.25%,2%,0%,0%,0%,0%,3130,"Rodriguez, Shari Lynn"
WFB,Fisheries Techniques,69%,23%,8%,0%,0%,0%,0%,0%,0%,4160,"Peoples, Brandon Kevin"
WFB,Wildlife Conservation Polic,81%,9%,0%,2%,2%,0%,0%,5%,0%,4300,"Yarrow, Greg K"
WFB,Quantitative Ecology,45%,36%,9%,2%,5%,0%,0%,2%,0%,4610,"Jachowski, David Scott"
WFB,Wetland Wildlife Biology,56%,27%,8%,6%,0%,0%,0%,3%,0%,4620,"Barrett, Russell K"
WFB,Herpetology,54%,32%,7%,4%,0%,0%,0%,4%,0%,4680,"Mohr, Jeffrey Robert"
WFB,Human Dimensions of Wil,41%,32%,17%,2%,0%,0%,0%,2%,5%,4700,"Rodriguez, Shari Lynn"
WFB,Mammalogy,68%,26%,0%,0%,0%,0%,0%,0%,5%,6640,"Langlois, Lillie Amanda"
WFB,Wildlife Eco in Managed F,62%,31%,0%,0%,0%,0%,0%,0%,8%,8500,"Guynn, Susan Talley"
WFB,Functional Ecology,67%,22%,0%,0%,0%,0%,0%,11%,0%,8610,"Bower, Luke M"
WFB,Wildlife Behavior,50%,50%,0%,0%,0%,0%,0%,0%,0%,8610,"Langlois, Lillie Amanda"
WFB,Limnology,80%,13%,0%,0%,0%,0%,0%,7%,0%,8610,"Rodgers, John H"
WFB,Landscape Ecology,67%,25%,0%,0%,0%,0%,0%,8%,0%,8610,"Whitehead, Maria Anderson"
WS,"WS1030Cooper, Sarah Mae",50%,36%,4%,2%,4%,0%,0%,4%,0%,1030,"Cooper, Sarah Mae"
